Ontology ID,LABEL,alternative label,alternative label,Parent,Definition,Reference,Term editors,Comment
OBCS:0000352,system data uncertainty,系统数据不确定性,,input uncertainty,"Uncertainty about the systemdata that ‘drive’ themodel and typically quantify relevant features of the reference system and its behaviour (e.g. land-use maps, data on infrastructure (roads, houses)). Uncertainty about system data is generated by a lack of knowledge of the properties (including both the deterministic and the stochastic properties) of the underlying system and deficiencies in the description of the variability that can be an inherent feature of some of the phenomena under observation. ",https://www.tandfonline.com/doi/abs/10.1076/iaij.4.1.5.16466,Jinjing Guo|Oliver He|Jie Zheng,
OBCS:0000353,parameters uncertainty,参数不确定性,,objective uncertainty,,https://www.tandfonline.com/doi/abs/10.1076/iaij.4.1.5.16466,Jinjing Guo|Oliver He|Jie Zheng,definition and classification to be confirmed
OBCS:0000354,model outcome uncertainty,模型产出不确定性,prediction error,uncertainty,"This is the accumulated uncertainty caused by the uncertainties in all of the above locations (context, model, inputs, and parameters) that are propagated through the model and are reflected in the resulting estimates of the outcomes of interest.",https://www.tandfonline.com/doi/abs/10.1076/iaij.4.1.5.16466,Jinjing Guo|Oliver He|Jie Zheng,classification to be confirmed
OBCS:0000355,scientific uncertainty,科学不确定性,,uncertainty,"Scientific uncertainty refers to uncertainty which emanates from the scientific and technical dimensions of a problem as opposed to the legal, moral, societal, institutional, proprietary, and situational dimensions outlined by De Marchi et al. Scientific uncertainty is intrinsic to the processes of risk assessment and forecasting.",http://www.nusap.net/modules.php?op=modload&name=NS-Glossary&file=index,Jinjing Guo|Oliver He|Jie Zheng,classification to be confirmed
OBCS:0000356,legal uncertainty,法律不确定性,,uncertainty,"Legal uncertainty is relevant ""wherever agents must consider future contingencies of personal liability for their actions (or inactions)"". High legal uncertainty can result in defensive responses in regard to both decision making and release of information. Legal uncertainty may also play a role where actions are conditioned on the clarity or otherwise of a legal framework in allowing one to predict the consequences of particular actions.",http://www.nusap.net/modules.php?op=modload&name=NS-Glossary&file=index,Jinjing Guo|Oliver He|Jie Zheng,classification to be confirmed
OBCS:0000357,moral uncertainty,道德不确定性,,uncertainty,"Moral uncertainty stems from the underlying moral issues related to action and inaction in any given case. De Marchi notes that, though similar to legal responsibility, moral guilt may occur absent legal responsibility when negative consequences might have been limited by the dissemination of prior information or more effective management for example. ""Moral uncertainty is linked to the ethical tradition of a given country be it or not enacted in legislation (juridical and societal norms, shared moral values, mores), as well as the psychological characteristics of persons in charge, their social status and professional roles"" (De Marchi, 1994). Moral uncertainty would typically be high when moral and ethical dimensions of an issue are central and participants have a range of understandings of the moral imperatives at stake.",http://www.nusap.net/modules.php?op=modload&name=NS-Glossary&file=index,Jinjing Guo|Oliver He|Jie Zheng,classification to be confirmed
OBCS:0000358,societal uncertainty,社会不确定性,,uncertainty,"Communities from one region to another may differ in the set of norms, values, and manner of relating characteristic of their societies. This in turn can result in differences in approach to decision making and assessment. Some salient characteristics of these differences will be different views about the role of consensus versus conflict, on locating responsibility between individuals and larger groups, on views about the legitimacy and role of social and private institutions, and on attitudes to authority and expertise. From De Marchi (1994). Societal uncertainty would typically be high when decisions involve substantial collaboration among groups characterized by divergent decision making styles.",http://www.nusap.net/modules.php?op=modload&name=NS-Glossary&file=index,Jinjing Guo|Oliver He|Jie Zheng,classification to be confirmed
OBCS:0000359,institutional uncertainty,机制不确定性,,societal uncertainty,"Institutional uncertainty is in some sense a subset of societal uncertainty, and refers more specifically to the role and actions of institutions and their members. Institutional uncertainty stems from the ""diverse cultures and traditions, divergent missions and values, different structures, and work styles among personnel of different agencies"" (De Marchi, 1994). High institutional uncertainty can hinder collaboration or understanding among agencies, and can make the actions of institutions difficult to predict.",http://www.nusap.net/modules.php?op=modload&name=NS-Glossary&file=index,Jinjing Guo|Oliver He|Jie Zheng,classification to be confirmed
OBCS:0000360,proprietary uncertainty,所有权不确定性,,uncertainty,"Proprietary uncertainty occurs due to the fact that information and knowledge about an issue are not uniformly shared among all those who could potentially use it. That is, some people or groups have information that others don't and may assert ownership or control over it. ""Proprietary uncertainty becomes most salient when it is necessary to reconcile the general needs for safety, health, and environment protection with more sectorial needs pertaining, for instance, to industrial production and process, or to licensing and control procedures"" (De Marchi, 1994). De Marchi notes that 'whistle blowing' is another source of proprietary uncertainty in that there is a need for protection of those who act in sharing information for the public good. Proprietary uncertainty would typically be high when knowledge plays a key role in assessment, but is not widely shared among participants. An example of such would be the case of external safety of military nuclear production facilities.",http://www.nusap.net/modules.php?op=modload&name=NS-Glossary&file=index,Jinjing Guo|Oliver He|Jie Zheng,classification to be confirmed
OBCS:0000361,situational uncertainty,情境不确定性,context uncertainty,uncertainty,"Situational uncertainty relates to ""the predicament of the person responsible for a crisis, either in the phase of preparation and planning, or of actual emergency. It refers to individual behaviours or personal interventions in crisis situations"" (De Marchi, 1994) and as such represents a form of integration over the other six types of uncertainty. That is, it tends to combine the uncertainties one has to face in a given situation or on a particular issue. High situational uncertainty would be characterized by situations where individual decisions play a substantial role and there is uncertainty about the nature of those decisions.",http://www.nusap.net/modules.php?op=modload&name=NS-Glossary&file=index,Jinjing Guo|Oliver He|Jie Zheng,classification to be confirmed
OBCS:0000362,psychological uncertainty,心理不确定性,,subjective uncertainty,"A belief is psychologically certain when the subject who has it is supremely convinced of its truth. Certainty in this sense is similar to incorrigibility, which is the property a belief has of being such that the subject is incapable of giving it up. But psychological certainty is not the same thing as incorrigibility. A belief can be certain in this sense without being incorrigible; this may happen, for example, when the subject receives a very compelling bit of counterevidence to the (previously) certain belief and gives it up for that reason. Moreover, a belief can be incorrigible without being psychologically certain. For example, a mother may be incapable of giving up the belief that her son did not commit a gruesome murder, and yet, compatible with that inextinguishable belief, she may be tortured by doubt. ",https://plato.stanford.edu/entries/certainty/?fbclid=IwAR3vA0iSWlxBOy5xH5IJ6kJCpqxGtweFO07bJCEzgw4cnF7viviAkt006qo#pagetopright,Jinjing Guo|Oliver He|Jie Zheng,classification to be confirmed
OBCS:0000363,identity uncertainty,,identity disorder,subjective uncertainty,,https://uts.nlm.nih.gov/uts/umls/vocabulary/MEDCIN/1416,Jinjing Guo|Oliver He|Jie Zheng,classification to be confirmed
OBCS:0000364,uncertainty about gender role,,,identity uncertainty,,https://uts.nlm.nih.gov/uts/umls/vocabulary/MEDCIN/1417,Jinjing Guo|Oliver He|Jie Zheng,classification to be confirmed
OBCS:0000365,uncertainty about long-term goals,,,identity uncertainty,,https://uts.nlm.nih.gov/uts/umls/vocabulary/MEDCIN/1418,Jinjing Guo|Oliver He|Jie Zheng,classification to be confirmed
OBCS:0000366,uncertainty about value systems,,,identity uncertainty,,https://uts.nlm.nih.gov/uts/umls/vocabulary/MEDCIN/1419,Jinjing Guo|Oliver He|Jie Zheng,classification to be confirmed
OBCS:0000367,uncertainty degree level,,,data item,,,Jinjing Guo|Oliver He|Jie Zheng,definition to be confirmed
OBCS:0000368,definitive certainty level,绝对确定,No equivocation,uncertainty degree level,,https://pubmed.ncbi.nlm.nih.gov/29274047/,Jinjing Guo|Oliver He|Jie Zheng,definition to be confirmed
OBCS:0000369,high certainty level,高度确定,Minimal equivocation,uncertainty degree level,,https://pubmed.ncbi.nlm.nih.gov/29274047/,Jinjing Guo|Oliver He|Jie Zheng,definition to be confirmed
OBCS:0000370,intermediate certainty level,中度确定,Intermediate degree of equivocation,uncertainty degree level,,https://pubmed.ncbi.nlm.nih.gov/29274047/,Jinjing Guo|Oliver He|Jie Zheng,definition to be confirmed
OBCS:0000371,highest uncertainty degree,最高程度不确定,High degree of equivocation,uncertainty degree level,,https://pubmed.ncbi.nlm.nih.gov/29274047/,Jinjing Guo|Oliver He|Jie Zheng,definition to be confirmed
OBCS:0000372,very high uncertainty level,非常高度不确定,,uncertainty degree level,,,Jinjing Guo|Oliver He|Jie Zheng,definition to be confirmed
OBCS:0000373,low uncertainty level,低程度不确定,,uncertainty degree level,,,Jinjing Guo|Oliver He|Jie Zheng,definition to be confirmed
OBCS:0000374,very low uncertainty level,非常低程度不确定,,uncertainty degree level,,,Jinjing Guo|Oliver He|Jie Zheng,definition to be confirmed
OBCS:0000375,uncertainty quantification,不确定性量化,,planned process,Representation of model output uncertainty using probability distributions.,https://uc-ebook.org/docs/html/6_glossary.html,Jinjing Guo|Oliver He|Jie Zheng,classification to be confirmed
